iter	Passed	Remaining
1120	7177	5628
1121	7181	5620
1122	7189	5614
1123	7194	5606
1124	7199	5599
1125	7205	5593
1126	7210	5585
1127	7215	5577
1128	7220	5570
1129	7226	5563
1130	7231	5556
1131	7237	5549
1132	7242	5542
1133	7247	5534
1134	7253	5527
1135	7258	5520
1136	7262	5512
1137	7269	5506
1138	7274	5498
1139	7278	5491
1140	7283	5483
1141	7288	5476
1142	7293	5468
1143	7297	5460
1144	7302	5453
1145	7307	5445
1146	7311	5437
1147	7319	5431
1148	7323	5424
1149	7328	5416
1150	7336	5411
1151	7342	5404
1152	7349	5399
1153	7354	5391
1154	7359	5383
1155	7365	5377
1156	7370	5370
1157	7374	5362
1158	7380	5355
1159	7388	5350
1160	7393	5342
1161	7398	5335
1162	7403	5328
1163	7408	5320
1164	7413	5313
1165	7418	5306
1166	7422	5298
1167	7427	5291
1168	7434	5284
1169	7438	5276
1170	7443	5269
1171	7449	5262
1172	7453	5255
1173	7458	5247
1174	7463	5240
1175	7469	5233
1176	7474	5226
1177	7482	5220
1178	7487	5214
1179	7495	5208
1180	7501	5201
1181	7505	5194
1182	7514	5189
1183	7518	5181
1184	7523	5174
1185	7528	5167
1186	7533	5159
1187	7537	5152
1188	7543	5145
1189	7547	5137
1190	7552	5129
1191	7558	5123
1192	7563	5116
1193	7568	5108
1194	7574	5102
1195	7579	5095
1196	7583	5087
1197	7588	5080
1198	7593	5072
1199	7598	5065
1200	7602	5057
1201	7609	5051
1202	7614	5044
1203	7619	5037
1204	7628	5033
1205	7633	5025
1206	7639	5019
1207	7644	5011
1208	7649	5004
1209	7654	4997
1210	7659	4990
1211	7664	4983
1212	7671	4977
1213	7678	4971
1214	7684	4964
1215	7691	4959
1216	7696	4951
1217	7701	4944
1218	7707	4937
1219	7712	4930
1220	7717	4923
1221	7723	4917
1222	7728	4910
1223	7734	4903
1224	7739	4896
1225	7744	4889
1226	7748	4881
1227	7756	4876
1228	7760	4868
1229	7765	4861
1230	7770	4854
1231	7775	4847
1232	7780	4839
1233	7785	4832
1234	7790	4825
1235	7795	4818
1236	7802	4812
1237	7807	4805
1238	7812	4798
1239	7819	4792
1240	7824	4785
1241	7828	4778
1242	7846	4778
1243	7852	4772
1244	7857	4764
1245	7862	4757
1246	7872	4753
1247	7876	4746
1248	7882	4739
1249	7887	4732
1250	7893	4725
1251	7899	4719
1252	7904	4712
1253	7908	4704
1254	7915	4699
1255	7921	4692
1256	7925	4684
1257	7931	4678
1258	7937	4671
1259	7941	4664
1260	7947	4657
1261	7952	4650
1262	7956	4643
1263	7963	4637
1264	7968	4630
1265	7973	4623
1266	7980	4617
1267	7985	4610
1268	7990	4602
1269	7998	4597
1270	8004	4591
1271	8010	4584
1272	8015	4577
1273	8020	4570
1274	8025	4563
1275	8031	4556
1276	8036	4549
1277	8041	4543
1278	8048	4537
1279	8053	4530
1280	8059	4523
1281	8064	4516
1282	8069	4509
1283	8074	4502
1284	8079	4495
1285	8084	4488
1286	8090	4482
1287	8096	4475
1288	8101	4468
1289	8109	4463
1290	8115	4456
1291	8119	4449
1292	8125	4442
1293	8130	4435
1294	8135	4429
1295	8141	4422
1296	8147	4415
1297	8152	4409
1298	8160	4403
1299	8165	4397
1300	8171	4390
1301	8177	4383
1302	8182	4376
1303	8187	4369
1304	8192	4363
1305	8197	4356
1306	8203	4349
1307	8209	4343
1308	8214	4336
1309	8221	4330
1310	8227	4323
1311	8232	4316
1312	8240	4311
1313	8245	4304
1314	8251	4298
1315	8257	4291
1316	8262	4284
1317	8267	4278
1318	8273	4271
1319	8278	4264
1320	8284	4258
1321	8290	4251
1322	8296	4245
1323	8302	4239
1324	8308	4232
1325	8313	4225
1326	8320	4220
1327	8326	4213
1328	8331	4206
1329	8337	4200
1330	8342	4193
1331	8348	4186
1332	8357	4181
1333	8362	4175
1334	8368	4168
1335	8373	4161
1336	8377	4154
1337	8383	4147
1338	8388	4141
1339	8393	4133
1340	8400	4128
1341	8405	4121
1342	8411	4114
1343	8418	4108
1344	8423	4102
1345	8428	4095
1346	8434	4088
1347	8439	4081
1348	8444	4075
1349	8450	4068
1350	8455	4061
1351	8460	4055
1352	8466	4048
1353	8471	4041
1354	8476	4034
1355	8482	4028
1356	8487	4021
1357	8492	4015
1358	8498	4008
1359	8503	4001
1360	8508	3994
1361	8514	3988
1362	8519	3981
1363	8524	3974
1364	8529	3968
1365	8534	3961
1366	8541	3955
1367	8547	3948
1368	8552	3941
1369	8557	3935
1370	8563	3928
1371	8568	3921
